1	0.151186695D1
2	0.585096960D-1
3	0.595243709D1
4	0.223447180D0
5	0.356837645D1
6	0.050591851D-1
7	0.810530173D0
8	0.645519847D1
9	0.136404178D-1
10	0.620442590D0
11	0.314583128D1
12	0.228575934D-1
13	0.318800511D-1
14	0.943248155D-1
15	0.871906439D-1
16	0.739268098D0
17	0.411342527D0
18	0.053600860D0
19	0.502903786D0
20	0.734897045D-1
21	0.177808741D-1
22	0.850883354D0
23	0.299757720D1
24	0.187052463D-1
25	0.714350119D1
26	0.733897543D-1
27	0.519028658D-1
28	0.468501936D0
29	0.719615169D0
30	0.241263155D0
31	0.038921156D1
32	0.660999965D1
33	0.378063261D0
34	0.951980816D1
35	0.937159622D0
36	0.634833939D0
37	0.185055559D1
38	0.889705654D-2
39	0.912558143D0
40	0.525777550D0
41	0.019063143D-1
42	0.923101276D1
43	0.254766301D0
44	0.966738630D-1
45	0.015586916D0
46	0.643105723D1
47	0.617571623D1
48	0.617909590D1
49	0.918379810D-1
50	0.388924971D0
