1	0.354680738D0
2	0.204932204D2
3	0.967919462D0
4	0.130092895D-1
5	0.076173191D1
6	0.014154405D0
7	0.254950147D1
8	0.337507173D1
9	0.294999542D0
10	0.258249291D-1
11	0.092804881D1
12	0.419156414D0
13	0.250991186D0
14	0.035894681D2
15	0.307127470D0
16	0.239833009D-1
17	0.655095980D-1
18	0.971063431D0
19	0.075562048D0
20	0.469044353D0
21	0.684207005D1
22	0.884125676D0
23	0.451325777D0
24	0.425527789D-1
25	0.747176599D-1
26	0.690031493D0
27	0.708032572D-1
28	0.472670916D-1
29	0.019405936D1
30	0.635353532D1
31	0.342528576D0
32	0.017676470D1
33	0.867875771D1
34	0.061630966D1
35	0.057252731D0
36	0.257730610D0
37	0.501760551D1
38	0.935374750D0
39	0.144967213D-1
40	0.287353084D0
41	0.641079407D-1
42	0.096276110D0
43	0.607315004D-1
44	0.415285377D-1
45	0.136983034D0
46	0.594809715D-1
47	0.669085899D1
48	0.973638001D-1
49	0.473961549D0
50	0.647691245D-1
