1	0.196601089D1
2	0.312512793D0
3	0.865000764D1
4	0.719216532D0
5	0.720652768D1
6	0.809627064D-1
7	0.759444435D0
8	0.994440212D1
9	0.961508203D0
10	0.531722504D1
11	0.655284251D1
12	0.260783295D1
13	0.111399302D-1
14	0.583292441D2
15	0.019572029D0
16	0.166669466D0
17	0.604416994D0
18	0.619192226D1
19	0.353491708D0
20	0.786574538D-1
21	0.029351861D0
22	0.900671937D-1
23	0.734429375D0
24	0.359839696D1
25	0.385280371D0
26	0.475097893D1
27	0.862547476D0
28	0.160533033D1
29	0.097940347D0
30	0.398611482D-1
31	0.219660957D1
32	0.501017117D-1
33	0.412281720D1
34	0.327041146D-1
35	0.810576739D1
36	0.579484355D0
37	0.873415871D0
38	0.743875274D-1
39	0.521169519D-1
40	0.866674675D0
41	0.122391632D1
42	0.269985892D-1
43	0.125549889D0
44	0.147648321D1
45	0.123909095D0
46	0.942604937D0
47	0.386106195D0
48	0.193514477D0
49	0.699191267D1
50	0.867877581D0
